ticker
AAPL
MSFT
NVDA
GOOGL
AMZN
META
TSLA
BRK.B
LLY
V
UNH
JPM
XOM
MA
AVGO
JNJ
WMT
PG
COST
HD
NFLX
CRM
BAC
ABBV
KO
MRK
PEP
AMD
ADBE
TMO
